Ano,Branca ,Amarela ,Ignorada ,Indígena ,Parda ,Preta 
2002,52.18,0.34,12.09,0.07,23.73,11.60
2003,53.32,0.57,9.29,0.14,24.35,12.34
2004,52.22,0.39,7.53,0.20,27.12,12.54
2005,52.33,0.38,5.87,0.21,28.81,12.40
2006,49.59,0.39,7.23,0.14,30.06,12.59
2007,49.30,0.32,6.74,0.20,30.85,12.58
2008,49.81,0.31,6.09,0.21,31.29,12.30
2009,46.39,0.33,6.29,0.30,34.26,12.44
2010,47.33,0.35,5.83,0.29,34.10,12.10
2011,45.98,0.28,5.60,0.28,35.04,12.83
2012,44.27,0.24,5.92,0.30,36.34,12.93
2014,40.25,0.21,4.50,0.25,40.83,13.96
2015,39.78,0.21,4.18,0.19,42.21,13.42
2016,39.13,0.25,3.94,0.22,43.05,13.42
2017,37.94,0.21,3.11,0.23,44.79,13.72
